sync_id;product;price;product_date;store;store_type;code1;libellé_COICOP1
3219;Pellicule argentique;29.9;45446;Photographe;Sports et loisirs;09.1.1.2;Accessoires pour matériel photographique et cinématographique
9300;Petitdéjeuner;9;45473;Café pivoine;Ajout utilisateur;11.1.1.2;Restaurants, cafés et autres – à service limité 
9146;Petite surface;189;45463;Franprix;Grande et petite surface alimentaire;98.1.2;Courses en supermarché
8052;Piège à guêpes et frelons ;24.99;45466;Amazon;Achat par internet, téléphone, correspondance;05.6.1.9;Autres biens ménagers non durables
1398;Pineau;11.8;45438;Marché;Marché, vente à domicile, automate;02.1.2.1;Vin de raisin
8757;Piscine;4.6;45469;Piscine;Services de loisirs, soins, animaux;09.4.6.2;Prestations sportives - practice
4374;Piscine ;2.85;45447;Piscine;Services de loisirs, soins, animaux;09.4.6.2;Prestations sportives - practice
1143;Piscine municipale ;20;45432;Piscine municipale;Services de loisirs, soins, animaux;09.4.6.2;Prestations sportives - practice
7934;Pizza canibale;13;45466;Don vito;Ajout utilisateur;11.1.1.2;Restaurants, cafés et autres – à service limité
5619;Pizza chanbon fromage jus  ;19.85;45455;Leclerc ;Ajout utilisateur;01.1.9.1.4;Sandwichs, pizzas, quiches, pâtés à la viande ou au poisson, surgelés ou non
1835;Plat a emporte;27.8;45439;Restaurant asiatique;Restauration classique;11.1.1.1;Restaurants, cafés et autres – avec service complet 
1821;Plateau de table chêne massif;80;45440;Le Bon Coin;Achat par internet, téléphone, correspondance;05.1.1.1;Meubles de maison
5053;Plein de courses;104.19;45451;Auchan;Grande et petite surface alimentaire;98.1.2;Courses en supermarché
5096;Plein de courses;104.19;45451;Auchan;Grande et petite surface alimentaire;98.1.2;Courses en supermarché
3677;Pneumologue;92;45448;Boulanger;Commerce de détail alimentaire;06.2.3.1;Services curatifs et de réadaptation ambulatoires
4564;Pochette course;9.7;45451;Amazon;Achat par internet, téléphone, correspondance;05.6.1.9;Autres biens ménagers non durables
969;Poêle savoyarde;12;45435;Leclerc;Grande et petite surface alimentaire;05.4.0.3;Ustensiles et articles de cuisine
3863;Pomme de terre;1.2;45429;Rafale b market;Ajout utilisateur;01.1.7.5.1;Pommes de terre
2884;Pomme de terre ;1.5;45445;Marché;Marché, vente à domicile, automate;01.1.7.9;Légumes, tubercules, plantains, bananes à cuire et légumineuses moulues et autres préparations
1273;Pommes de terre;3.99;45437;Leclerc;Grande et petite surface alimentaire;01.1.7.9;Légumes, tubercules, plantains, bananes à cuire et légumineuses moulues et autres préparations
5457;Pose stérilet ;3.84;45455;Sage Femme;Services de santé;06.2.1.9;Autres services préventifs
1128;Poules pondeuses  vivantes;25;45435;Fermier;Marché, vente à domicile, automate;01.1.2.1.4;Volaille, vivante
4407;Poulet crudites;3.11;45450;Leclerc;Grande et petite surface alimentaire;01.1.9.1.4;Sandwichs, pizzas, quiches, pâtés à la viande ou au poisson, surgelés ou non
