"Libelle";"Code"
"Boissons énergisantes";"01.2.9.0.2"
"Sirops, concentrés et autres boissons non alcoolisées";"01.2.9.0.9"
"Services de transformation de matières premières pour les produits alimentaires et les boissons non alcoolisées";"01.3"
"Services de transformation de matières premières pour les produits alimentaires et les boissons non alcoolisées (S)";"01.3.0"
"Services de transformation de matières premières pour les produits alimentaires et les boissons non alcoolisées (S)";"01.3.0.0"
"Services de transformation de matières premières pour les produits alimentaires et les boissons non alcoolisées";"01.3.0.0.1"
"Boissons alcoolisées, tabac et stupéfiants";"02"
"Boissons alcoolisées";"02.1"
"Spiritueux et liqueurs (ND)";"02.1.1"
"Spiritueux et liqueurs (ND)";"02.1.1.0"
"Vin (ND)";"02.1.2"
"Vin de raisins (ND)";"02.1.2.1"
"Vin d’autres sources (ND)";"02.1.2.2"
"Bière (ND)";"02.1.3"
"Bière (ND)";"02.1.3.0"
"Autres boissons alcoolisées (ND)";"02.1.9"
"Autres boissons alcoolisées (ND)";"02.1.9.0"
"Services de production d’alcool";"02.2"
"Services de production d’alcool (S)";"02.2.0"
"Services de production d’alcool (S)";"02.2.0.0"
"Tabac";"02.3"
"Tabac (ND)";"02.3.0"
"Cigarettes (ND)";"02.3.0.1"
"Cigares (ND)";"02.3.0.2"
"Autres produits du tabac (ND)";"02.3.0.9"
"Stupéfiants";"02.4"
"Stupéfiants (ND)";"02.4.0"
"Stupéfiants (ND)";"02.4.0.0"
"Articles d’habillement et chaussures";"03"
"Articles d’habillement";"03.1"
"Tissus pour habillement (SD)";"03.1.1"
"Tissus pour habillement (SD)";"03.1.1.0"
"Vêtements (SD)";"03.1.2"
"Vêtements pour hommes ou garçons (SD)";"03.1.2.1"
"Vêtements pour femmes ou filles (SD)";"03.1.2.2"
"Vêtements pour nourrissons (de moins de 2 ans) (SD)";"03.1.2.3"
"Uniformes scolaires (SD)";"03.1.2.4"
"Autres articles et accessoires d’habillement (SD)";"03.1.3"
"Autres articles d’habillement (SD)";"03.1.3.1"
"Accessoires d’habillement (SD)";"03.1.3.2"
"Nettoyage, réparation, confection et location d’articles d’habillement (S)";"03.1.4"
