libelle;code;url;description;comprend;ne_comprend_pas
Enseignement non défini par niveau;10.5;https://www.insee.fr/fr/metadonnees/coicop2018/groupe/10.5;;;
Enseignement non défini par niveau (S);10.5.0;https://www.insee.fr/fr/metadonnees/coicop2018/classe/10.5.0;;tuteurs indépendants (cours particuliers), centres de tutorat, centres d'aide aux devoirs, etc. cours éducatifs de courte durée, généralement pour adultes, qui ne nécessitent pas d'instruction préalable particulière, notamment le développement culturel ou certains types de formation professionnelle cours d'immersion linguistique et les voyages internationaux pour l'apprentissage des langues tests de compétence linguistique cours d'utilisation d'ordinateurs et/ou de logiciels spécifiques cours de préparation aux examens tutorat en ligne;leçons de conduite ( 07.2.4.3 cours de formation pour les loisirs et les sports qui ne font pas partie d'un programme éducatif ( 09.4.6 supports amovibles contenant des formateurs en langues étrangères ( 09.7.1.1
Cours particuliers (S);10.5.0.1;https://www.insee.fr/fr/metadonnees/coicop2018/sousClasse/10.5.0.1;;tuteurs indépendants (cours particuliers de soutien), centres de tutorat, centres d'aide aux devoirs, etc. cours de préparation aux examens tutorat en ligne;
Enseignement divers non défini par niveau (S);10.5.0.9;https://www.insee.fr/fr/metadonnees/coicop2018/sousClasse/10.5.0.9;;formations de courte durée, généralement pour adultes, qui ne nécessitent pas d'instruction préalable particulière, notamment le développement culturel ou certains types de formation professionnelle cours d'immersion linguistique et les voyages internationaux pour l'apprentissage des langues tests de compétence linguistique cours d'utilisation d'ordinateurs et/ou de logiciels spécifiques;leçons de conduite ( 07.2.4.3 cours de formation pour les loisirs et les sports qui ne font pas partie d'un programme éducatif ( 09.4.6 supports amovibles contenant des formateurs en langues étrangères ( 09.7.1.1
Services de restauration et d'hébergement;11;https://www.insee.fr/fr/metadonnees/coicop2018/division/11;couvre les services de restauration fournis par les restaurants, les cafés et les établissements similaires, qu'il s'agisse d'un service complet, d'un service limité ou d'un libre-service, ou par les cantines, les cafétérias ou les réfectoires sur le lieu de travail ou dans les locaux d'une école ou d'un autre établissement d'enseignement ( ). La distinction entre service complet et service limité concerne l'éventail des services de restauration : un service fourni par des serveurs à des clients individuels assis à des tables sera considéré comme un service complet. L'hébergement (;;
Services de restauration et de débits de boissons;11.1;https://www.insee.fr/fr/metadonnees/coicop2018/groupe/11.1;;;
Restaurants, cafés et similaires (S);11.1.1;https://www.insee.fr/fr/metadonnees/coicop2018/classe/11.1.1;Les services d'alimentation et de boissons fournis par les restaurants, les cafés et les établissements de restauration similaires, qu'il s'agisse d'un service complet, d'un service limité ou d'un libre-service.;tabac consommé avec une shisha ou une pipe à narguilé dans les restaurants, les cafés ou les salons de shisha pourboires et gratifications;produits alimentaires et boissons distribués par des distributeurs automatiques sans liens avec un restaurant self-service ou similaire (par exemple, restaurants automatiques) (01.1.9.1 ou 02.1) achats de tabac ( 02.3.0 services de restauration dans les transports publics, s'ils ne sont pas facturés séparément ( 07.3 services de livraison d'aliments et de boissons, s'ils sont facturés séparément ( 07.4.9.2 droits d'entrée dans les établissements de danse et les boîtes de nuit ( 09.4.6.1 services de restauration dans les établissements fournissant des services récréatifs, culturels, sportifs ou de divertissement, s'ils ne sont pas facturés séparément (09.4.6, 09.6.1.0, 09.6.2.0, 09.6.9.0) services de restauration fournis dans le cadre de voyages à forfait, s'ils ne sont pas facturés séparément ( 09.8.0.0 services de restauration fournis par les hôtels ou autres établissements d'hébergement, s'ils ne sont pas facturés séparément du logement ( 11.2
Restaurants, cafés et établissements similaires — service complet (S);11.1.1.1;https://www.insee.fr/fr/metadonnees/coicop2018/sousClasse/11.1.1.1;Services de restauration fournis par des restaurants, des cafés et des établissements de restauration similaires offrant un service complet consistant en un service de serveur à des clients individuels assis à des tables, avec ou sans animation.;"denrées alimentaires et les boissons fournies par des établissements à service complet servant principalement des boissons : cafés, buffets, bars, salons de thé, etc. aliments et boissons fournis par les restaurants à service complet, cafés et autres établissements similaires et consommés en dehors de leurs locaux ; aliments et boissons fournis par les restaurants à service complet, cafés et autres établissements similaires et livrés à domicile services complets de restauration dans les hôtels ou autres établissements d'hébergement, s'ils sont facturés séparément de l'hébergement services complets de restauration dans les établissements fournissant des services récréatifs, culturels, sportifs ou de divertissement (théâtres, cinémas, stades, piscines, complexes sportifs, musées, galeries d'art, boîtes de nuit, établissements de danse et autres installations similaires), s'ils sont facturés séparément tabac consommé avec une chicha ou une pipe à narguilé dans les restaurants, cafés ou salons de chicha pourboires et gratifications";achats de tabac ( 02.3.0 services de restauration dans les transports publics, s'ils ne sont pas facturés séparément ( 07.3 services de livraison d'aliments et de boissons, s'ils sont facturés séparément ( 07.4.9.2 services de restauration dans les établissements fournissant des services récréatifs, culturels, sportifs ou de divertissement, s'ils ne sont pas facturés séparément (09.4.6, 09.6.1.0, 09.6.2.0, 09.6.9.0) droits d'entrée dans les établissements de danse et les boîtes de nuit ( 09.4.6.1 services de restauration fournis dans le cadre de voyages à forfait, s'ils ne sont pas facturés séparément ( 09.8.0.0 services de restauration fournis par les hôtels ou autres établissements d'hébergement, s'ils ne sont pas facturés séparément du logement ( 11.2
Restaurants, cafés et établissements similaires — service limité (S);11.1.1.2;https://www.insee.fr/fr/metadonnees/coicop2018/sousClasse/11.1.1.2;Services de restauration fournis par des établissements à service limité et en libre-service (i.e., sans service de serveur et avec ou sans places assises).;services de restauration fournis par les restaurants en libre-service produits alimentaires et boissons fournis par les buvettes, stands de fish and chips, établissements de restauration rapide sans places assises et installations de vente à emporter produits alimentaires et boissons préparés sur place et distribués par des distributeurs automatiques en tant que service de livraison dans un restaurant en libre-service ou similaire (par exemple, restaurants automatiques) aliments et boissons destinés à la consommation immédiate fournis par des kiosques, stands de nourriture, chariots de nourriture, vendeurs ambulants et autres glaciers et pâtisseries aliments et boissons fournis par des entreprises de restauration, qu'ils soient enlevés par le client ou livrés à son domicile services de restauration dans les transports publics (autocars, trains, bateaux, avions, etc.), s'ils sont facturés séparément tabac consommé avec une chicha ou une pipe à narguilé dans les restaurants, les cafés ou les salons de chicha pourboires et gratifications;produits alimentaires et boissons distribués par des distributeurs automatiques sans liens avec un restaurant self-service ou similaire (par exemple, restaurants automatiques) (01.1.9.1 ou 02.1) achats de tabac ( 02.3.0 services de restauration dans les transports publics, s'ils ne sont pas facturés séparément ( 07.3 services de livraison d'aliments et de boissons, s'ils sont facturés séparément ( 07.4.9.2 services de restauration dans les établissements fournissant des services récréatifs, culturels, sportifs ou de divertissement, s'ils ne sont pas facturés séparément (09.4.6, 09.6.1.0, 09.6.2.0, 09.6.9.0) droits d'entrée dans les établissements de danse et les boîtes de nuit ( 09.4.6.1 services de restauration fournis dans le cadre de voyages à forfait, s'ils ne sont pas facturés séparément ( 09.8.0.0 services de restauration fournis par les hôtels ou autres établissements d'hébergement, s'ils ne sont pas facturés séparément du logement ( 11.2
Cantines, cafétérias et réfectoires (S);11.1.2;https://www.insee.fr/fr/metadonnees/coicop2018/classe/11.1.2;Les aliments et boissons fournis par les cantines, cafétérias ou réfectoires (i.e., restaurants, cafés, etc.) sur le lieu de travail ou dans les bureaux, dans les écoles, les universités et autres établissements d'enseignement, aux patients hospitalisés, s'ils font l'objet d'une facturation séparée.;réfectoires universitaires, mess militaires et salles de garde;aliments et boissons fournis par les écoles, universités et autres établissements d'enseignement, s'ils ne sont pas facturés séparément (10.1 - 10.5) aliments et boissons fournis aux patients hospitalisés, s'ils ne font pas l'objet d'une facturation séparée ( 06.3
Cantines et cafétérias des universités, écoles et jardins d’enfants (S);11.1.2.1;https://www.insee.fr/fr/metadonnees/coicop2018/sousClasse/11.1.2.1;Aliments et boissons fournis aux étudiants par les cantines, cafétérias ou réfectoires (i.e., restaurants, cafés, etc.) dans les écoles, universités et autres établissements d'enseignement.;cantines d'écoles maternelles cantines scolaires réfectoires universitaires;aliments et boissons fournis par les écoles, universités et autres établissements d'enseignement, s'ils ne sont pas facturés séparément (10.1 – 10.5)
Autres cantines, cafétérias et réfectoires (S);11.1.2.9;https://www.insee.fr/fr/metadonnees/coicop2018/sousClasse/11.1.2.9;Les aliments et boissons fournis par les cantines, cafétérias ou réfectoires (i.e., restaurants, cafés, etc.) sur le lieu de travail ou dans les bureaux, aux patients hospitalisés, s'ils font l'objet d'une facturation séparée.;mess militaires et salles de garde;aliments et boissons fournis aux patients hospitalisés, s'ils ne font pas l'objet d'une facturation séparée ( 06.3
Services d’hébergement;11.2;https://www.insee.fr/fr/metadonnees/coicop2018/groupe/11.2;;;
Services d’hébergement (S);11.2.0;https://www.insee.fr/fr/metadonnees/coicop2018/classe/11.2.0;;"centres de villégiature, hôtels, hôtels louant des chambres à l'heure, motels, auberges et pensions services d'hébergement fournis par des maisons de vacances privées, maisons d'hôtes et pensions de famille en tant que résidence secondaire et autres établissements de type « bed and breakfast » unités de multipropriété villages et centres de vacances, camping, caravanes et bateaux sur place (non mobiles) auberges de jeunesse et refuges de montagne bungalows, chalets, cottages et cabanes résidences d'étudiants, dortoirs d'écoles et autres établissements d'enseignement, lorsqu'ils sont facturés séparément ; foyers et autres logements pour travailleurs wagons-lits de chemin de fer et autres transports publics, lorsqu'ils sont facturés séparément frais de site web pour l'inscription, la recherche et la location d'un logement frais d'agence de voyage pour l'hébergement s'ils sont facturés séparément pourboires et gratifications pour les grooms, porteurs d'hôtel et femmes de chambre";paiements des ménages occupant une chambre dans un hôtel ou une pension de famille en tant que résidence principale ( 04.1.1.0 loyers payés par les ménages pour une résidence secondaire ou une résidence en multipropriété ( 04.1.2.1 appels téléphoniques ( 08.3.1.0 voyages à forfait ( 09.8.0.0 petits déjeuners, repas et autres aliments et boissons fournis dans les établissements d'hébergement et assimilés, s'ils sont facturés séparément ( 11.1.1 maisons de retraite non médicalisées pour personnes âgées et les résidences pour personnes handicapées ( 13.3.0.2
Hôtels et hébergements similaires (S);11.2.0.1;https://www.insee.fr/fr/metadonnees/coicop2018/sousClasse/11.2.0.1;;services d'hébergement dans les centres de villégiature, hôtels et motels services d'hébergement dans les auberges, pensions et établissements similaires services d'hébergement de courte durée fournis par des maisons de vacances privées, maisons d'hôtes et pensions de famille en tant que résidence secondaire et autres unités « bed and breakfast » unités de multipropriété hôtels qui louent des chambres à l'heure;paiements des ménages occupant une chambre dans un hôtel ou une pension de famille en tant que résidence principale ( 04.1.1.0 loyers payés par les ménages pour une résidence secondaire ou une résidence en multipropriété ( 04.1.2.1 appels téléphoniques ( 08.3.1.0 voyages à forfait ( 09.8.0.0 petits déjeuners, repas et autres aliments et boissons fournis dans les établissements d'hébergement et assimilés, s'ils sont facturés séparément ( 11.1.1
Centres de vacances, camping, auberges de jeunesse et hébergements similaires (S);11.2.0.2;https://www.insee.fr/fr/metadonnees/coicop2018/sousClasse/11.2.0.2;;villages et centres de vacances campings, caravanes et bateaux sur place (non mobiles), terrains de camping et parcs de véhicules de loisirs et de caravanes auberges de jeunesse et refuges de montagne bungalows, chalets, cottages et cabanes;paiements des ménages occupant une chambre dans un hôtel ou une pension de famille en tant que résidence principale ( 04.1.1.0 appels téléphoniques ( 08.3.1.0 petits déjeuners, repas et autres aliments et boissons fournis dans les établissements d'hébergement et assimilés, s'ils sont facturés séparément ( 11.1.1
"Campings et auberges de jeunesses
";11.2.0.2.1;https://www.insee.fr/fr/metadonnees/coicop2018/poste/11.2.0.2.1;;villages et centres de vacances;paiements des ménages occupant une chambre dans un hôtel ou une pension de famille en tant que résidence principale ( 04.1.1.0 appels téléphoniques ( 08.3.1.0 petits déjeuners, repas et autres aliments et boissons fournis dans les établissements d'hébergement et assimilés, s'ils sont facturés séparément ( 11.1.1
"Centres de vacances ou de loisirs (villages vacances, résidence de tourisme, club de vacances)
";11.2.0.2.2;https://www.insee.fr/fr/metadonnees/coicop2018/poste/11.2.0.2.2;;campings, caravanes et bateaux sur place (non mobiles), terrains de camping et parcs de véhicules de loisirs et de caravanes auberges de jeunesse et refuges de montagne;paiements des ménages occupant une chambre dans un hôtel ou une pension de famille en tant que résidence principale ( 04.1.1.0 appels téléphoniques ( 08.3.1.0 petits déjeuners, repas et autres aliments et boissons fournis dans les établissements d'hébergement et assimilés, s'ils sont facturés séparément ( 11.1.1
Services d’hébergement scolaires et universitaires (S);11.2.0.3;https://www.insee.fr/fr/metadonnees/coicop2018/sousClasse/11.2.0.3;;résidences d'étudiants, dortoirs des écoles et autres établissements d'enseignement, lorsqu'ils sont facturés séparément;hébergement dans des orphelinats, des foyers pour personnes handicapées ou inadaptées (13.3.0.1, 13.3.0.2)
Autres services d’hébergement (S);11.2.0.9;https://www.insee.fr/fr/metadonnees/coicop2018/sousClasse/11.2.0.9;;auberges et autres logements pour les travailleurs wagons-lits et autres transports publics, s'ils sont facturés séparément frais de site web pour l'inscription, la recherche et la location d'un logement frais d'agence de voyage pour l'hébergement, s'ils sont facturés séparément;appels téléphoniques ( 08.3.1.0 petits déjeuners, repas et autres aliments et boissons fournis dans les établissements d'hébergement et assimilés, s'ils sont facturés séparément ( 11.1.1 foyers pour personnes handicapées ou inadaptées ( 13.3.0.2
Assurance et services financiers;12;https://www.insee.fr/fr/metadonnees/coicop2018/division/12;couvre les assurances ( ) et les services financiers ( ). Les assurances et les services financiers sont fournis par des sociétés financières. Ils peuvent être payés explicitement ou implicitement. Certaines transactions portant sur des actifs financiers peuvent également donner lieu à des frais explicites et implicites. Les frais implicites ne sont pas toujours aussi évidents étant donné que la manière dont les frais sont facturés pour la plupart des biens et services et sont généralement calculés à partir d'un certain nombre de transactions observables. Des exemples de charges implicites proviennent des services financiers fournis en association avec les charges d'intérêt sur les prêts et les dépôts, l'acquisition et la cession d'actifs et de passifs financiers sur les marchés financiers, et les régimes d'assurance et de retraite. Les valeurs imputées des dépenses d'assurance et de services financiers ne sont pas directement observables à partir des enquêtes sur les revenus et les dépenses des ménages. Les services d'assurance sont subdivisés par type d'assurance. Les services financiers sont subdivisés en services d'intermédiation financière indirectement mesurés et en autres formes de frais réels et indirects et de frais de transfert de fonds pour les services financiers. Pour la définition et la mesure des services d'assurance et des services financiers, des concepts spécifiques de comptabilité nationale (SCN 2008) s'appliquent.;;
Assurance;12.1;https://www.insee.fr/fr/metadonnees/coicop2018/groupe/12.1;Les frais d'assurance sont classés par type d'assurance, à savoir, assurance vie et assurance non-vie (i.e., les assurances liées au logement, à la santé, au transport, etc.) Les charges des assurances multirisques couvrant plusieurs risques doivent être classées sur la base du coût du risque principal s'il n'est pas possible d'affecter les charges aux différents risques couverts. La méthode de base pour mesurer la charge de service pour l'assurance non-vie est le total des primes acquises plus les revenus d'investissement provenant du placement des primes, moins les sinistres ajustés encourus. La méthode de base pour mesurer la charge de service de l'assurance vie est celle des primes acquises plus les revenus des placements des primes, moins les prestations dues à moins d'augmentations (plus de diminutions) des provisions techniques de l'assurance vie.;;
Assurance-vie et assurance accidents (S);12.1.1;https://www.insee.fr/fr/metadonnees/coicop2018/classe/12.1.1;;frais de service pour l'assurance-vie, les rentes, l'assurance-décès, l'assurance-études, etc. frais de service pour l'assurance obsèques frais de service pour l'assurance accident;
Assurance vie et accidents (S);12.1.1.0;https://www.insee.fr/fr/metadonnees/coicop2018/sousClasse/12.1.1.0;;frais de service pour l'assurance-vie, les rentes, l'assurance-décès, l'assurance-études, etc. frais de service pour l'assurance obsèques frais de service pour l'assurance accident;
Assurance liée à la santé (S);12.1.2;https://www.insee.fr/fr/metadonnees/coicop2018/classe/12.1.2;;frais de service pour l'assurance maladie directe frais de service pour l'assurance maladie sociale frais de service pour l'assurance invalidité frais de service pour l'assurance contre les maladies graves frais de service pour l'assurance soins de longue durée frais de service pour l'assurance maladie complémentaire frais de service pour l'assurance complémentaire des médicaments sur ordonnance frais de service pour l'assurance maladie de voyage frais de service pour les assurances de transport médical (par exemple, ambulance);
Assurance liée à la santé (S);12.1.2.0;https://www.insee.fr/fr/metadonnees/coicop2018/sousClasse/12.1.2.0;;frais de service pour l'assurance maladie directe frais de service pour l'assurance maladie sociale frais de service pour l'assurance invalidité frais de service pour l'assurance contre les maladies graves frais de service pour l'assurance soins de longue durée frais de service pour l'assurance maladie complémentaire frais de service pour l'assurance complémentaire des médicaments sur ordonnance frais de service pour l'assurance maladie de voyage frais de service pour les assurances de transport médical (par exemple, ambulance);
Assurance liée aux logements (S);12.1.3;https://www.insee.fr/fr/metadonnees/coicop2018/classe/12.1.3;;frais de service payés par les propriétaires-occupants et par les locataires pour les types d'assurance généralement souscrits par les locataires contre l'incendie, le vol, les dégâts des eaux, etc. frais de service pour l'assurance des biens mobiliers;frais de service payés par les propriétaires-occupants pour les types d'assurance généralement souscrits par les propriétaires (consommation intermédiaire)
Assurance liée aux logements (S);12.1.3.0;https://www.insee.fr/fr/metadonnees/coicop2018/sousClasse/12.1.3.0;;frais de service payés par les propriétaires-occupants et par les locataires pour les types d'assurance généralement souscrits par les locataires contre l'incendie, le vol, les dégâts des eaux, etc. frais de service pour l'assurance des biens mobiliers;frais de service payés par les propriétaires-occupants pour les types d'assurance généralement souscrits par les propriétaires (consommation intermédiaire)
Assurance liée aux transports (S);12.1.4;https://www.insee.fr/fr/metadonnees/coicop2018/classe/12.1.4;;frais de service pour l'assurance relative à l'équipement de transport personnel frais de service pour l'assurance voyage (en cas de modification des plans de voyage, d'annulation du voyage, etc.) et l'assurance bagages;
Assurance liée au transport personnel (S);12.1.4.1;https://www.insee.fr/fr/metadonnees/coicop2018/sousClasse/12.1.4.1;;frais de service pour l'assurance relative à l'équipement de transport personnel frais de service pour l'assurance voyage (en cas de modification des plans de voyage, d'annulation du voyage, etc.) et l'assurance bagages frais de service pour l'assurance des vélos, des motos, des bateaux, des yachts, des voiliers, des avions, etc.;
Assurance voyage (S);12.1.4.2;https://www.insee.fr/fr/metadonnees/coicop2018/sousClasse/12.1.4.2;;frais de service pour l'assurance voyage (en cas de modification des plans de voyage, d'annulation du voyage, etc.) et l'assurance bagages;assurance maladie de voyage ( 12.1.2.0
Autres assurances (S);12.1.9;https://www.insee.fr/fr/metadonnees/coicop2018/classe/12.1.9;;frais de service pour d'autres assurances, telles que la responsabilité civile pour les blessures ou les dommages causés à des tiers ou à leurs biens frais de service pour les garanties standardisées frais de service pour l'assurance juridique frais de service pour l'assurance médicale des animaux de compagnie;responsabilité civile ou dommages causés à des tiers ou à leurs biens du fait de l'utilisation d'un équipement de transport personnel ( 12.1.4.1
Autres assurances (S);12.1.9.0;https://www.insee.fr/fr/metadonnees/coicop2018/sousClasse/12.1.9.0;;frais de service pour d'autres assurances, telles que la responsabilité civile pour les blessures ou les dommages causés à des tiers ou à leurs biens frais de service pour les garanties standardisées frais de service pour l'assurance juridique frais de service pour l'assurance médicale des animaux de compagnie;responsabilité civile ou dommages causés à des tiers ou à leurs biens du fait de l'utilisation d'un équipement de transport personnel ( 12.1.4.1
Services financiers;12.2;https://www.insee.fr/fr/metadonnees/coicop2018/groupe/12.2;Les services financiers sont subdivisés en services d'intermédiation financière indirectement mesurés et en autres formes de frais réels et implicites et de frais de transfert de fonds pour les services financiers.;;
Services d’intermédiation financière indirectement mesurés (S);12.2.1;https://www.insee.fr/fr/metadonnees/coicop2018/classe/12.2.1;Les services d'intermédiation financière indirectement mesurés sont calculés comme la différence entre les intérêts bancaires réels à recevoir et les intérêts SCN à recevoir par les sociétés financières sur les prêts qu'elles accordent, et la différence entre les intérêts SCN à payer et les intérêts bancaires réels à payer par les sociétés financières sur les dépôts de leurs clients.;services d'intermédiation financière, indirectement mesurés, par les sociétés de dépôt services financiers implicites fournis par les prêteurs, émetteurs de cartes de crédit, associés financiers des détaillants qui peuvent être responsables de l'octroi de prêts, prêteurs sur gages et sociétés impliquées dans les prêts (par exemple, dans l'octroi de prêts étudiants et de prêts à l'importation et à l'exportation);
Services d’intermédiation financière indirectement mesurés (S);12.2.1.0;https://www.insee.fr/fr/metadonnees/coicop2018/sousClasse/12.2.1.0;Les services d'intermédiation financière indirectement mesurés sont calculés comme la différence entre les intérêts bancaires réels à recevoir et les intérêts SCN à recevoir par les sociétés financières sur les prêts qu'elles accordent, et la différence entre les intérêts SCN à payer et les intérêts bancaires réels à payer par les sociétés financières sur les dépôts de leurs clients.;services d'intermédiation financière, indirectement mesurés, par les sociétés de dépôt services financiers implicites fournis par les prêteurs, émetteurs de cartes de crédit, associés financiers des détaillants qui peuvent être responsables de l'octroi de prêts, prêteurs sur gages et sociétés impliquées dans les prêts (par exemple, dans l'octroi de prêts étudiants et de prêts à l'importation et à l'exportation);
Frais explicites des institutions bancaires (S);12.2.2;https://www.insee.fr/fr/metadonnees/coicop2018/classe/12.2.2;;frais explicites pour les services financiers des sociétés de dépôt, telles que banques commerciales, coopératives de crédit, banques coopératives, caisses d'épargne, banques postales et caisses d'épargne postales;frais de transfert de fonds ( 12.2.9.1
Frais explicites des institutions bancaires (S);12.2.2.0;https://www.insee.fr/fr/metadonnees/coicop2018/sousClasse/12.2.2.0;;frais explicites pour les services financiers des sociétés de dépôt, telles que banques commerciales, coopératives de crédit, banques coopératives, caisses d'épargne, banques postales et caisses d'épargne postales;frais de transfert de fonds ( 12.2.9.1
Autres services financiers (S);12.2.9;https://www.insee.fr/fr/metadonnees/coicop2018/classe/12.2.9;;frais réels et implicites pour les services financiers des changeurs de monnaie et autres institutions financières commissions et frais de service et les frais implicites des fonds monétaires, fonds d'investissement non monétaires, courtiers, consultants et autres frais administratifs et les frais implicites des fonds de pension et autres frais de transfert de fonds;
Frais de transfert de fonds (S);12.2.9.1;https://www.insee.fr/fr/metadonnees/coicop2018/sousClasse/12.2.9.1;;frais de transfert de fonds pour les services financiers fournis par les auxiliaires financiers, tels que les agents de transfert de fonds;
Autres services financiers n.c.a. (S);12.2.9.9;https://www.insee.fr/fr/metadonnees/coicop2018/sousClasse/12.2.9.9;;frais réels et implicites pour les services financiers des changeurs de monnaie et autres institutions financières commissions et frais de service et les frais implicites des fonds monétaires, fonds d'investissement non monétaires, courtiers, consultants et similaires frais administratifs et implicites des fonds de pension et autres autres services financiers n.c.a.;
Soins corporels, protection sociale et biens et services divers;13;https://www.insee.fr/fr/metadonnees/coicop2018/division/13;comprend les biens et services pour les soins personnels ( ), la bijouterie et l'horlogerie ( ), les services de protection sociale ( ) et tous les autres services destinés aux ménages qui ne sont pas classés ailleurs ( Les biens et services de soins personnels couvrent les appareils électriques et non électriques de soins personnels et les services de coiffure.;;
Soins corporels;13.1;https://www.insee.fr/fr/metadonnees/coicop2018/groupe/13.1;;;
Appareils électriques pour soins corporels (SD);13.1.1;https://www.insee.fr/fr/metadonnees/coicop2018/classe/13.1.1;;rasoirs électriques, tondeuses et épilateurs, sèche-cheveux à main et à hotte, fers à lisser, pinces à friser et peignes de coiffure, lampes solaires, vibrateurs, brosses à dents électriques et autres appareils électriques pour l'hygiène dentaire, etc. réparation d'appareils électriques pour les soins personnels;
Appareils électriques pour soins corporels (SD);13.1.1.1;https://www.insee.fr/fr/metadonnees/coicop2018/sousClasse/13.1.1.1;;rasoirs électriques, tondeuses et épilateurs, sèche-cheveux à main et à hotte, fers à lisser, pinces à friser et peignes de coiffure, lampes solaires, vibrateurs, brosses à dents électriques et autres appareils électriques pour l'hygiène dentaire, etc.;réparation d'appareils électriques destinés aux soins personnels ( 13.1.1.2
Réparation d’appareils électriques pour soins corporels (S);13.1.1.2;https://www.insee.fr/fr/metadonnees/coicop2018/sousClasse/13.1.1.2;Le coût des matériaux n'est inclus que si les matériaux ne sont pas facturés séparément.;réparation d'appareils électriques pour les soins personnels;
Autres appareils, articles et produits pour soins corporels (ND);13.1.2;https://www.insee.fr/fr/metadonnees/coicop2018/classe/13.1.2;;appareils non électriques : rasoirs et tondeuses à cheveux et leurs lames, ciseaux, limes à ongles, peignes, blaireaux, brosses à cheveux, brosses à dents, brosses à ongles, épingles à cheveux, bigoudis, pèse-personnes, balances, etc. articles d'hygiène personnelle : savon de toilette, savon médicinal, huile et lait nettoyants, savon de rasage, crème et mousse à raser, dentifrice, cire d'épilation, mouchoirs en papier, etc. produits de beauté : rouge à lèvres, vernis à ongles, produits de maquillage et de démaquillage (y compris poudriers, pinceaux et houppettes), laques et lotions pour les cheveux, produits de pré-rasage et d'après-rasage, produits et écrans solaires, épilateurs, parfums et eaux de toilette, déodorants personnels, produits pour le bain, etc.;mouchoirs en tissu ( 03.1.3.1 pèse-bébé ( 06.1.2.1
Autres appareils, articles et produits pour soins corporels (ND);13.1.2.0;https://www.insee.fr/fr/metadonnees/coicop2018/sousClasse/13.1.2.0;;appareils non électriques : rasoirs et tondeuses à cheveux et leurs lames, ciseaux, limes à ongles, peignes, blaireaux, brosses à cheveux, brosses à dents, brosses à ongles, épingles à cheveux, bigoudis, pèse-personnes, balances, etc. articles d'hygiène personnelle : savon de toilette, savon médicinal, huile et lait nettoyants, savon de rasage, crème et mousse à raser, dentifrice, cire d'épilation, mouchoirs en papier, etc. produits de beauté : rouge à lèvres, vernis à ongles, produits de maquillage et de démaquillage (y compris poudriers, pinceaux et houppettes), laques et lotions pour les cheveux, produits de pré-rasage et d'après-rasage, produits et écrans solaires, épilateurs, parfums et eaux de toilette, déodorants personnels, produits pour le bain, etc.;mouchoirs en tissu ( 03.1.3.1 pèse-bébé ( 06.1.2.1
Parfums et eaux de toilette;13.1.2.0.1;https://www.insee.fr/fr/metadonnees/coicop2018/poste/13.1.2.0.1;;parfums et eaux de toilette;
Produits de maquillage et de soin de la peau;13.1.2.0.2;https://www.insee.fr/fr/metadonnees/coicop2018/poste/13.1.2.0.2;;produits de beauté : rouge à lèvres, vernis à ongles, produits de maquillage et de démaquillage (y compris poudriers, pinceaux et houppettes), produits de prérasage et d'après-rasage, produits et écrans solaires, épilateurs, produits pour le bain, etc. cire d'épilation;
Savons, dentifrices et produits de toilette;13.1.2.0.3;https://www.insee.fr/fr/metadonnees/coicop2018/poste/13.1.2.0.3;;articles d'hygiène personnelle : savon de toilette, savon médicinal, huile et lait nettoyants, savon de rasage, crème et mousse à raser, dentifrice, etc. déodorants personnels;shampooings et produits capillaires divers ( 13.1.2.0.4
Shampoings et produits capillaires divers;13.1.2.0.4;https://www.insee.fr/fr/metadonnees/coicop2018/poste/13.1.2.0.4;;shampooings et produits capillaires divers laques et lotions pour les cheveux;
Articles d’hygiène à base de papier ou de coton;13.1.2.0.5;https://www.insee.fr/fr/metadonnees/coicop2018/poste/13.1.2.0.5;;articles d'hygiène personnelle à base de papier ou de coton : papier toilette, mouchoirs en papier, etc. serviettes périodiques;mouchoirs en tissu ( 03.1.3.1
Autres appareils, articles et produits pour soins corporels n.c.a.;13.1.2.0.6;https://www.insee.fr/fr/metadonnees/coicop2018/poste/13.1.2.0.6;;;
Salons de coiffure et instituts de soins et de beauté (S);13.1.3;https://www.insee.fr/fr/metadonnees/coicop2018/classe/13.1.3;;salons de coiffure ou barbiers pour femmes, hommes et enfants soins de beauté du visage, épilation, solarium, pédicure, soins corporels, manucure, thalassothérapie, bains turcs, saunas, massages non médicaux, etc. clubs de diététique et services de tatouage et de piercing;spas à des fins médicales (06.2, 06.3) tatouage des animaux ( 09.4.5.0 centres de remise en forme ( 09.4.6.2
Services de coiffure (S);13.1.3.1;https://www.insee.fr/fr/metadonnees/coicop2018/sousClasse/13.1.3.1;;salons de coiffure ou de barbiers pour femmes, hommes et enfants;
Soins de beauté corporels (S);13.1.3.2;https://www.insee.fr/fr/metadonnees/coicop2018/sousClasse/13.1.3.2;;soins de beauté du visage, épilation, solarium, pédicure, soins corporels, manucure, thalassothérapie, bains turcs, saunas, massages non médicaux, etc. clubs de diététique et services de tatouage et de piercing;spas à des fins médicales (06.2, 06.3) tatouage des animaux ( 09.4.5.0 centres de remise en forme ( 09.4.6.2
Autres effets personnels;13.2;https://www.insee.fr/fr/metadonnees/coicop2018/groupe/13.2;;;
